die_id,source,row,col,x_um,y_um,cell_name,site,test_enabled,bin,notes
D00268,gds_references,,,22906.0,-47705.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00269,gds_references,,,26430.0,-47705.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00270,gds_references,,,29954.0,-47705.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00271,gds_references,,,33478.0,-47705.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00272,gds_references,,,37002.0,-47705.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00273,gds_references,,,40526.0,-47705.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00274,gds_references,,,44050.0,-47705.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00275,gds_references,,,-44050.0,-46060.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00276,gds_references,,,-40526.0,-46060.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00277,gds_references,,,-37002.0,-46060.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00278,gds_references,,,-33478.0,-46060.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00279,gds_references,,,-29954.0,-46060.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00280,gds_references,,,-26430.0,-46060.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00281,gds_references,,,-22906.0,-46060.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00282,gds_references,,,-19382.0,-46060.0,single_die,,1,UNTESTED,Generated from selected top-cell references
